state_abbrev,fips,total_pop_20,activeaug19,activesep19,activeoct19,activenov19,activedec19,activejan20,activefeb20,activemar20,activeapr20,activemay20,activejun20,activejul20,activeaug20,activesep20,activeoct20,activenov20,activedec20,activejan21,activefeb21,activemar21,activeapr21,activemay21,activejun21,activejul21,activeaug21,activesep21,activeoct21,activenov21,activedec21,activejan22,activefeb22,activemar22,activeapr22,activemay22,activejun22,mdaug19,mdsep19,mdoct19,mdnov19,mddec19,mdjan20,mdfeb20,mdmar20,mdapr20,mdmay20,mdjun20,mdjul20,mdaug20,mdsep20,mdoct20,mdnov20,mddec20,mdjan21,mdfeb21,mdmar21,mdapr21,mdmay21,mdjun21,mdjul21,mdaug21,mdsep21,mdoct21,mdnov21,mddec21,mdjan22,mdfeb22,mdmar22,mdapr22,mdmay22,mdjun22
HI,15,1455271,80882,80848,81361,80773,80783,80753,79810,80931,80897,80977,81733,82203,81862,81695,81543,81028,80613,72221,72659,73362,74076,73495,73482,73185,72667,72603,72525,72506,72285,71783,71690,71383,77078,77543,86827,5.5578651,5.5555286,5.5907798,5.550375,5.5510621,5.5490007,5.4842019,5.5612321,5.5588961,5.564393,5.6163421,5.6486387,5.6252065,5.6137309,5.6032863,5.5678978,5.5393806,4.9627185,4.992816,5.0411229,5.0901861,5.050262,5.0493689,5.0289602,4.9933653,4.9889679,4.9836078,4.9823022,4.9671159,4.932621,4.9262304,4.9051347,5.2964706,5.3284235,5.9663801
IA,19,3190369,106354,106466,107020,106779,106328,106527,104859,107580,106780,106595,106920,107171,107137,106817,106514,105982,105821,96923,97328,97833,98163,97658,97487,96943,95364,95350,95523,95909,95810,96032,96234,95906,113170,115752,103510,3.3335955,3.3371062,3.354471,3.3469169,3.3327806,3.3390181,3.2867358,3.3720238,3.3469484,3.3411496,3.3513365,3.3592038,3.3581381,3.3481081,3.3386106,3.3219354,3.316889,3.0379872,3.0506816,3.0665104,3.0768542,3.0610251,3.0556653,3.038614,2.9891214,2.9886825,2.9941051,3.0062039,3.0031009,3.0100594,3.0163908,3.00611,3.5472386,3.6281698,3.2444522
ID,16,1839106,91464,91634,92044,92035,91904,92316,91163,92237,92673,93003,93398,93644,93669,93748,93705,93625,93727,84867,86151,85435,86115,85443,90738,90835,90928,90960,92036,92460,92513,92929,93192,93112,102431,103701,101952,4.9732862,4.9825296,5.0048232,5.0043335,4.9972105,5.0196128,4.9569192,5.0153174,5.0390244,5.0569677,5.0784459,5.0918217,5.0931811,5.0974765,5.0951385,5.0907888,5.0963349,4.6145792,4.6843958,4.6454635,4.6824379,4.6458988,4.9338102,4.9390845,4.9441414,4.9458814,5.0043879,5.0274425,5.0303245,5.0529442,5.0672445,5.0628948,5.5696082,5.6386638,5.5435629
IL,17,12812508,915448,915541,921337,923924,927318,922446,920821,938699,951179,965252,996025,1012000,1028490,1039518,1044513,1046170,1047186,993345,1001749,974148,957069,930100,904782,884532,868354,861295,855000,847943,844127,839988,840842,839597,746834,751874,709638,7.1449556,7.1456814,7.1909184,7.2111096,7.2375994,7.199574,7.1868911,7.3264265,7.4238315,7.5336695,7.773849,7.8985314,8.0272341,8.113306,8.1522913,8.1652241,8.1731539,7.7529316,7.8185239,7.6031017,7.4698024,7.2593126,7.0617089,6.9036603,6.7773929,6.7222981,6.6731668,6.6180878,6.588304,6.5559998,6.562665,6.552948,5.8289447,5.8682814,5.5386348
IN,18,6785528,230506,230956,231679,232696,232116,232842,230053,232473,232734,233288,234531,235859,235710,234644,233424,232129,230810,212148,214468,214413,216310,214964,214282,211171,214935,214123,214563,214717,214628,213974,214428,214446,232831,234356,215894,3.3970237,3.4036555,3.4143105,3.4292984,3.4207509,3.4314499,3.3903477,3.426012,3.4298584,3.4380229,3.4563413,3.4759123,3.4737165,3.4580066,3.440027,3.4209423,3.4015038,3.1264775,3.1606679,3.1598573,3.1878138,3.1679776,3.1579268,3.1120791,3.1675501,3.1555834,3.1620679,3.1643374,3.1630259,3.1533875,3.1600783,3.1603436,3.4312878,3.4537623,3.1816831
KS,20,2937880,115663,116210,117412,117635,117556,117554,116241,117944,118344,118805,119523,119917,119864,120045,120540,120113,119956,111090,111965,113153,114235,114045,113766,113925,113237,113310,113856,113265,113129,113139,112929,112989,122938,123818,112785,3.9369545,3.9555733,3.9964874,4.0040779,4.0013885,4.0013208,3.9566286,4.0145955,4.0282106,4.0439024,4.0683417,4.0817528,4.0799489,4.0861096,4.1029587,4.0884242,4.0830803,3.7812982,3.8110814,3.8515189,3.8883481,3.8818808,3.8723841,3.8777962,3.854378,3.8568628,3.8754475,3.8553309,3.8507018,3.8510423,3.8438942,3.8459365,4.1845822,4.2145357,3.8389928
KY,21,4505836,133564,133991,134473,134204,133848,134274,132929,134759,135268,135810,136471,137245,137208,137015,136861,132817,132623,123216,124093,124311,126347,125530,133042,132349,123413,123256,123311,123723,123141,122657,122316,121760,145214,146130,135115,2.9642446,2.9737213,2.9844184,2.9784484,2.9705474,2.9800019,2.9501517,2.9907658,3.0020623,3.014091,3.0287609,3.0459387,3.0451174,3.0408342,3.0374165,2.9476662,2.9433606,2.734587,2.7540505,2.7588887,2.8040745,2.7859426,2.9526596,2.9372795,2.7389591,2.7354746,2.7366953,2.7458389,2.7329223,2.7221808,2.7146127,2.7022731,3.2227981,3.2431273,2.9986665
LA,22,4657757,142160,142557,143552,143145,143392,143956,142402,144563,144622,145903,147119,150395,151340,151849,150468,150966,149560,137797,138568,138128,139513,138338,137896,137131,136344,135761,135451,136313,136038,134927,134860,135168,144215,145605,142469,3.0521128,3.0606363,3.0819986,3.0732603,3.0785635,3.0906723,3.0573084,3.1037042,3.1049709,3.1324735,3.1585803,3.2289147,3.2492034,3.2601314,3.2304819,3.2411737,3.2109876,2.9584413,2.9749942,2.9655476,2.9952829,2.9700563,2.9605668,2.9441423,2.9272459,2.9147291,2.9080737,2.9265804,2.9206762,2.8968234,2.895385,2.9019976,3.0962329,3.1260755,3.0587471
MA,25,7029917,446002,446720,451167,449596,447487,448979,442835,448861,449288,450582,452928,454531,453281,452676,451275,450621,448390,407933,412236,413337,415043,412771,411647,410484,407370,407621,410261,410414,408540,406858,407996,406254,439015,443807,458054,6.3443422,6.3545556,6.4178143,6.3954668,6.3654661,6.3866901,6.2992921,6.3850112,6.3910856,6.4094925,6.4428639,6.4656668,6.4478855,6.4392796,6.4193501,6.4100471,6.3783116,5.802814,5.8640237,5.8796854,5.9039531,5.871634,5.8556452,5.8391018,5.794805,5.7983756,5.8359294,5.8381057,5.8114486,5.7875223,5.80371,5.7789302,6.2449527,6.3131185,6.5157809
MD,24,6177224,413525,418826,423666,425466,427192,432380,428750,435728,434815,436454,440319,444529,448256,449721,449308,449305,447960,419592,425850,430138,437116,436439,435128,431182,425504,425207,424775,421822,421674,419764,423767,422660,446185,448160,408609,6.6943502,6.7801652,6.8585176,6.8876572,6.9155984,6.9995842,6.9408202,7.0537834,7.0390034,7.065536,7.1281047,7.1962585,7.2565928,7.2803092,7.2736235,7.2735748,7.251801,6.7925658,6.8938732,6.9632897,7.0762529,7.0652933,7.0440702,6.9801903,6.8882723,6.8834643,6.8764706,6.8286662,6.8262701,6.7953501,6.8601527,6.8422322,7.2230663,7.2550387,6.6147676
