constit,counts_apr20,counts_aug20,counts_dec20,counts_feb21,counts_jan21,counts_jul20,counts_jun20,counts_mar20,counts_mar21,counts_may20,counts_nov20,counts_oct20,counts_sep20,population,mp,party,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21
West Dorset,1023,789,793,735,806,764,1054,1004,708,1088,795,818,817,95525,Chris Loder,Conservative,1.051033735,1.070923805,1.138968825,1.103376031,0.799790621,0.825961769,0.855273485,0.856320322,0.832242846,0.830149174,0.843758166,0.769432068,0.741167247
West Dunbartonshire,337,240,247,229,247,239,354,359,215,373,231,230,232,90515,Martin Docherty-Hughes,Scottish National Party,0.39661935,0.372313976,0.412086397,0.3910954,0.264044642,0.265149415,0.256311119,0.254101545,0.255206317,0.272882938,0.272882938,0.252996743,0.237529695
West Ham,4005,2916,2986,2844,3003,2937,4200,3955,2753,4307,2977,3012,3032,158093,Ms Lyn Brown,Labour,2.501692057,2.533318996,2.724345684,2.656664133,1.857767224,1.844483972,1.917858481,1.905207753,1.8830688,1.88876164,1.899514794,1.798941135,1.741380095
West Lancashire,1125,847,844,781,845,837,1164,1104,751,1217,848,854,850,94743,Rosie Cooper,Labour,1.165257573,1.187422872,1.284527659,1.228586793,0.883442581,0.893997431,0.897163928,0.901385844,0.89505291,0.890830994,0.891886473,0.824335337,0.792670727
West Suffolk,1010,773,770,713,779,769,1062,1013,699,1101,768,771,777,113382,Matt Hancock,Conservative,0.893439889,0.890793979,0.9710536,0.936656594,0.678238153,0.681766093,0.685293972,0.680002093,0.677356184,0.679120123,0.687057912,0.628847599,0.61649996
West Worcestershire,1217,882,913,851,904,905,1258,1223,835,1306,917,919,908,91667,Harriett Baldwin,Conservative,1.334177017,1.327631593,1.424722075,1.37235868,0.987269163,0.96217829,0.990541875,1.00254178,1.000360012,0.995996356,0.986178219,0.928360283,0.910905778
Westminster North,4340,2978,3012,2894,3041,2963,4494,4367,2828,4609,2957,2992,2980,116716,Ms Karen Buck,Labour,3.741560698,3.718427658,3.948901653,3.850371838,2.538640738,2.551492453,2.553205967,2.56348753,2.533500195,2.58062315,2.605469704,2.479522943,2.42297554
Westmorland and Lonsdale,763,608,610,551,599,603,804,782,530,832,624,625,612,83924,Tim Farron,Liberal Democrat,0.931795418,0.909155905,0.991373122,0.958009601,0.71850723,0.724465013,0.729231238,0.744721413,0.743529856,0.726848125,0.713741004,0.656546414,0.631523788
Weston-Super-Mare,935,665,698,637,687,672,980,962,606,1024,690,699,684,104302,John Penrose,Conservative,0.922321737,0.89643538,0.981764495,0.939579308,0.644282937,0.637571692,0.655788004,0.670169294,0.661540508,0.669210553,0.658664286,0.610726535,0.581005156
Wigan,621,438,432,366,419,447,645,641,358,684,439,440,442,101823,Lisa Nandy,Labour,0.629523754,0.609881878,0.671753943,0.633452177,0.43899709,0.430158228,0.434086591,0.432122409,0.431140304,0.424265623,0.411498398,0.359447271,0.351590514
