constit,counts_apr20,counts_aug20,counts_dec20,counts_feb21,counts_jan21,counts_jul20,counts_jun20,counts_mar20,counts_mar21,counts_may20,counts_nov20,counts_oct20,counts_sep20,population,mp,party,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21
Central Ayrshire,425,317,313,292,308,317,431,439,285,460,320,324,324,87671,Dr Philippa Whitford,Scottish National Party,0.5007357,0.484766901,0.5246889,0.491610676,0.36157909,0.36157909,0.36956349,0.36956349,0.365000963,0.357016563,0.351313442,0.333063394,0.325078994
Central Devon,926,766,756,690,747,756,969,924,661,1007,768,765,768,88975,Mel Stride,Conservative,1.038493991,1.040741801,1.131778598,1.089069963,0.849676847,0.860915959,0.863163829,0.859792054,0.863163829,0.849676847,0.839561701,0.775498748,0.742905319
Central Suffolk and North Ipswich,1060,757,740,671,743,754,1103,1080,648,1151,744,758,754,98936,Dr Dan Poulter,Conservative,1.091614723,1.071399689,1.163378358,1.114862084,0.762108862,0.765141129,0.762108862,0.766151845,0.752001286,0.747958302,0.75099051,0.678216219,0.654968858
Ceredigion,430,301,306,279,304,300,454,429,264,461,320,316,310,75913,Ben Lake,Plaid Cymru,0.565120578,0.5664379,0.607274115,0.598053038,0.395189226,0.396506518,0.40836221,0.416265994,0.421535164,0.40309301,0.400458425,0.367525995,0.347766519
Charnwood,1018,727,733,666,721,721,1043,1017,646,1090,732,724,720,94596,Edward Argar,Conservative,1.075098276,1.076155424,1.152268648,1.102583647,0.762188673,0.768531442,0.761131525,0.765360057,0.773817062,0.77487421,0.762188673,0.704046667,0.682904124
Chatham and Aylesford,808,618,612,527,599,598,838,819,506,894,607,605,608,97367,Tracey Crouch,Conservative,0.841147423,0.829849958,0.918175578,0.860661209,0.614171147,0.634711981,0.624441564,0.621360421,0.623414516,0.628549695,0.615198195,0.541251123,0.519683242
Cheadle,1559,1055,1030,945,1032,1036,1628,1575,991,1679,1016,1106,1094,91296,Mary Robinson,Conservative,1.725157738,1.707632303,1.839072943,1.783210635,1.134770393,1.155581832,1.198300004,1.211444139,1.11286366,1.128198385,1.130389094,1.035094619,1.085480213
Chelmsford,1613,1226,1225,1128,1221,1237,1686,1618,1093,1779,1227,1233,1236,105461,Vicky Ford,Conservative,1.534216404,1.529475331,1.686879516,1.598695278,1.172945499,1.162515044,1.17199719,1.169152617,1.163463235,1.161566854,1.157773972,1.069589734,1.036402106
Chelsea and Fulham,5734,4039,4177,3941,4141,4040,5989,5753,3800,6088,4119,4145,4068,105690,Greg Hands,Conservative,5.443277359,5.425300598,5.760241985,5.666572094,3.822499752,3.821553707,3.848992348,3.921846867,3.897246599,3.952124119,3.91806221,3.728829622,3.595420599
Cheltenham,1518,1129,1142,1039,1118,1127,1595,1527,992,1644,1140,1146,1122,104930,Alex Chalk,Conservative,1.455255866,1.446678758,1.566758752,1.520061016,1.074049354,1.075955391,1.06928432,1.092156649,1.086438537,1.088344574,1.065472245,0.990183949,0.945392191
Chesham and Amersham,1908,1405,1414,1274,1395,1422,1998,1898,1217,2064,1431,1448,1438,92730,Sarah Green,Liberal Democrat,2.046802521,2.057586432,2.225816965,2.154642582,1.53348434,1.515151501,1.550738692,1.561522722,1.543189883,1.524857163,1.504367471,1.373881102,1.312412381
Chesterfield,691,535,521,460,510,525,722,657,431,749,508,530,529,93223,Mr Toby Perkins,Labour,0.704761684,0.741233408,0.80344981,0.774486959,0.563165724,0.573892713,0.567456543,0.568529248,0.544929922,0.558874965,0.547075272,0.493440449,0.462332249
Chichester,1592,1209,1209,1080,1203,1205,1664,1629,1055,1710,1213,1207,1216,104488,Gillian Keegan,Conservative,1.559030652,1.52361989,1.636551619,1.59252739,1.153242469,1.157070637,1.16376996,1.155156612,1.160898805,1.157070637,1.151328325,1.033611536,1.009685278
Chingford and Woodford Green,1948,1325,1331,1189,1280,1310,2032,1925,1141,2090,1328,1340,1330,88040,Sir Iain Duncan Smith,Conservative,2.186506033,2.21263051,2.373920918,2.308041811,1.487959981,1.50499773,1.51067698,1.52203548,1.508405328,1.511812806,1.453884602,1.350522518,1.296001792
Chippenham,1036,763,770,686,771,754,1079,1026,646,1114,768,777,777,96071,Michelle Donelan,Conservative,1.067960143,1.078369141,1.159559131,1.123127699,0.784836233,0.794204295,0.808776855,0.808776855,0.799408793,0.801490545,0.802531481,0.71405524,0.672419369
Chipping Barnet,3077,2099,2192,2046,2182,2090,3173,3100,1962,3288,2161,2169,2147,111798,Theresa Villiers,Conservative,2.772858143,2.75228548,2.941018581,2.838154554,1.869443059,1.877493382,1.920427918,1.940106273,1.932950497,1.960679054,1.951734424,1.83008635,1.754950881
Chorley,884,654,640,573,631,652,921,885,537,957,653,657,660,94918,Sir Lindsay Hoyle,Speaker,0.932383716,0.931330204,1.008238673,0.970311224,0.686908722,0.689015806,0.695337057,0.692176402,0.687962234,0.674266219,0.664784312,0.603678942,0.565751493
Christchurch,852,601,633,588,638,611,881,871,570,931,630,635,624,83583,Sir Christopher Chope,Conservative,1.042077899,1.019345999,1.113862872,1.054042101,0.731009901,0.719045758,0.746563315,0.759723842,0.753741801,0.757331014,0.763313115,0.703492343,0.681956828
Cities of London and Westminster,21279,15382,16073,15063,16278,15199,22620,21394,14666,23286,15646,15726,15547,110000,Nickie Aiken,Conservative,19.44909096,19.34454536,21.16909027,20.56363678,13.81727314,13.9836359,14.13363647,14.29636383,14.22363663,14.61181831,14.79818153,13.69363594,13.33272743
City of Chester,1305,1010,1002,937,994,999,1389,1305,902,1428,992,1013,1013,93037,Christian Matheson,Labour,1.402667761,1.402667761,1.534873247,1.492954373,1.073766351,1.085589647,1.088814139,1.088814139,1.066242456,1.076990843,1.068392158,1.007126212,0.969506741
City of Durham,708,545,582,547,596,531,735,717,533,762,567,567,557,94374,Mary Kelly Foy,Labour,0.759743154,0.750206649,0.807425797,0.778816223,0.562654972,0.577489555,0.590204954,0.600801051,0.600801051,0.616695285,0.631529868,0.579608798,0.564774215
Clacton,588,464,453,424,455,450,626,566,417,643,453,454,464,85355,Giles Watling,Conservative,0.663112879,0.688887596,0.75332433,0.733407557,0.527209878,0.543611944,0.543611944,0.531896174,0.530724645,0.530724645,0.533067763,0.496748865,0.488547832
Cleethorpes,569,427,439,412,434,423,597,578,396,614,437,431,429,93580,Martin Vickers,Conservative,0.61765337,0.608035922,0.656123102,0.637956858,0.452019662,0.45629409,0.458431304,0.460568488,0.466980129,0.469117343,0.463774323,0.440265,0.423167348
Clwyd South,404,307,300,273,294,304,427,412,258,438,299,310,312,71530,Simon Baynes,Conservative,0.575982094,0.564797997,0.612330496,0.596952319,0.424996495,0.429190546,0.436180621,0.433384597,0.41800642,0.419404447,0.411016345,0.381658047,0.360687822
Clwyd West,604,434,444,409,433,433,619,592,401,635,446,448,445,73904,Mr David Jones,Conservative,0.801039159,0.817276478,0.85922277,0.837573051,0.58589524,0.587248325,0.602132499,0.606191814,0.603485584,0.600779414,0.58589524,0.553420663,0.542595804
"Coatbridge, Chryston and Bellshill",464,354,372,331,348,353,489,478,326,506,392,394,370,94977,Steven Bonnar,Scottish National Party,0.503279746,0.488539338,0.532760561,0.514861465,0.371668935,0.372721821,0.389568001,0.414837271,0.412731498,0.391673774,0.366404504,0.348505437,0.343241006
Colchester,1319,1015,1043,965,1048,987,1367,1311,954,1419,1029,1046,1028,108619,Will Quince,Conservative,1.206971169,1.214336395,1.306401253,1.258527517,0.908680797,0.934458971,0.946427405,0.962999105,0.947348058,0.960237145,0.964840412,0.888426542,0.878299356
Colne Valley,926,657,697,628,694,649,961,912,605,1004,688,689,687,108958,Jason McCartney,Conservative,0.837019742,0.849868774,0.921455979,0.881991208,0.595642328,0.602984607,0.630518198,0.632353723,0.63143599,0.639696002,0.636942685,0.576368868,0.555259824
Congleton,996,714,770,674,771,719,1047,980,646,1075,757,759,730,91987,Fiona Bruce,Conservative,1.065367937,1.082761645,1.168643355,1.138204336,0.781632185,0.776196659,0.793590426,0.825116575,0.822942376,0.837074816,0.838161886,0.732712209,0.70227313
Copeland,327,244,246,239,252,244,340,303,231,350,249,262,251,80863,Trudy Harrison,Conservative,0.374707848,0.404387683,0.43283084,0.420464247,0.301744938,0.301744938,0.310401529,0.324004799,0.307928234,0.304218233,0.311638206,0.295561641,0.285668343
Corby,1080,796,809,769,807,782,1108,1100,744,1156,791,799,813,110090,Tom Pursglove,Conservative,0.999182463,0.981015503,1.050049901,1.006449223,0.710327923,0.723044753,0.738486707,0.725769818,0.718503058,0.734853327,0.733036578,0.698519409,0.675810695
Coventry North East,818,562,594,554,598,559,846,846,540,884,580,579,584,110285,Colleen Fletcher,Labour,0.767103434,0.741714656,0.801559567,0.767103434,0.506868541,0.509588778,0.529537082,0.525003374,0.525910139,0.538604498,0.5422315,0.502334833,0.489640474
Coventry North West,830,601,589,522,579,596,865,814,498,908,595,606,637,101326,Taiwo Owatemi,Labour,0.803347588,0.819138229,0.896117508,0.853680193,0.58820045,0.593135059,0.628663898,0.598069608,0.587213576,0.581292093,0.571422935,0.515168846,0.491482943
Coventry South,1318,980,981,891,972,1001,1395,1283,854,1444,993,1003,972,107273,Zarah Sultana,Labour,1.196013927,1.228640914,1.346098304,1.300420403,0.933133245,0.913556993,0.906099379,0.934997618,0.925675631,0.91448921,0.906099379,0.830591083,0.796099663
Crawley,1423,999,996,890,981,987,1479,1438,880,1525,987,997,995,106584,Henry Smith,Conservative,1.349170566,1.335097194,1.430796385,1.387637973,0.926030159,0.93728888,0.933535993,0.935412467,0.926030159,0.93447423,0.920400798,0.835022151,0.825639844
Crewe and Nantwich,824,616,631,536,614,615,864,834,506,912,643,634,626,107330,Dr Kieran Mullan,Conservative,0.777042747,0.767725706,0.849715829,0.804993927,0.572999179,0.57393086,0.5832479,0.59070158,0.59908694,0.58790648,0.57206744,0.499394387,0.471443206
Croydon Central,2364,1645,1722,1679,1751,1631,2455,2379,1604,2550,1701,1703,1658,114697,Sarah Jones,Labour,2.074160576,2.061082602,2.223249197,2.140422106,1.422007561,1.434213638,1.445547819,1.484781623,1.483037949,1.501347065,1.526630998,1.463856936,1.398467302
Croydon North,2805,2024,2018,1917,2009,1977,2937,2753,1854,3003,2033,2069,2103,136109,Steve Reed,Labour (Co-op),2.022643566,2.060848236,2.206320047,2.157829285,1.452512383,1.4870435,1.545085192,1.520105243,1.493655801,1.48263526,1.47602284,1.40842998,1.362143517
Croydon South,2225,1617,1606,1451,1564,1611,2328,2194,1418,2417,1583,1618,1660,112644,Chris Philp,Conservative,1.947729111,1.97524941,2.145697832,2.066688061,1.430169344,1.435495853,1.473669291,1.436383605,1.4053123,1.425730586,1.38844502,1.288128972,1.25883317
"Cumbernauld, Kilsyth and Kirkintilloch East",429,328,337,319,343,329,465,432,308,478,330,331,333,86866,Stuart C McDonald,Scottish National Party,0.497317702,0.493864119,0.550272822,0.535307229,0.378744274,0.37759307,0.383349061,0.381046683,0.379895478,0.387953848,0.394861042,0.367232293,0.354569107
Cynon Valley,215,166,175,157,172,156,230,220,164,242,171,177,174,68899,Beth Winter,Labour,0.319307983,0.312050968,0.351238757,0.333821982,0.226418376,0.240932375,0.252543569,0.256897777,0.248189375,0.253994972,0.249640778,0.227869779,0.238029584
Dagenham and Rainham,1257,894,952,878,936,864,1344,1300,861,1390,946,952,925,101978,Jon Cruddas,Labour,1.274784803,1.232618809,1.363039136,1.317931294,0.84724158,0.876659691,0.907058358,0.933534682,0.927651048,0.933534682,0.917845011,0.86097002,0.844299734
Darlington,606,419,430,362,412,421,626,601,342,634,426,426,431,91432,Peter Gibson,Conservative,0.657319129,0.662787616,0.693411469,0.684661806,0.460451484,0.458264053,0.471388578,0.465920031,0.465920031,0.470294863,0.450608104,0.395922661,0.374048471
Dartford,1505,1074,1103,1016,1110,1054,1603,1524,976,1652,1104,1114,1095,103261,Gareth Johnson,Conservative,1.475871801,1.457471848,1.599829555,1.552376986,1.020714521,1.040082932,1.060419679,1.078819633,1.069135547,1.06816709,1.074946046,0.983914554,0.945177734
Daventry,1095,803,816,714,791,792,1128,1117,681,1196,817,823,829,93927,Chris Heaton-Harris,Conservative,1.189221382,1.165799022,1.273329258,1.200932622,0.843208015,0.854919255,0.882600307,0.876212358,0.869824409,0.868759811,0.842143357,0.760164797,0.725031137
Delyn,494,358,377,354,380,358,512,495,352,551,372,374,369,69982,Rob Roberts,Independent,0.707324743,0.705895782,0.78734529,0.731616676,0.511560142,0.511560142,0.527278423,0.534423113,0.531565249,0.538709939,0.542996764,0.505844355,0.502986491
Denton and Reddish,704,507,522,472,510,510,741,677,464,768,496,496,510,85628,Andrew Gwynne,Labour,0.790629208,0.822160959,0.896902859,0.865371168,0.595599592,0.592096031,0.595599592,0.579249799,0.579249799,0.609613657,0.595599592,0.55122155,0.541878819
Derby North,921,701,672,573,681,676,956,921,563,1021,699,718,701,100319,Amanda Solloway,Conservative,0.91807133,0.91807133,1.017753363,0.952960074,0.673850417,0.69877094,0.69877094,0.715716839,0.696777284,0.669863164,0.678834498,0.571177959,0.561209738
Derby South,852,646,656,593,656,638,882,843,574,925,666,669,663,109178,Margaret Beckett,Labour,0.772133589,0.780376971,0.847240269,0.80785507,0.584366798,0.591694295,0.607265174,0.612760842,0.610013008,0.600853682,0.600853682,0.54314971,0.525746942
Derbyshire Dales,774,621,606,588,628,626,824,767,591,839,604,611,610,78716,Miss Sarah Dines,Conservative,0.974388957,0.983281672,1.065857053,1.046801209,0.795264006,0.788912058,0.774937749,0.776208162,0.767315388,0.769856215,0.797804773,0.746989191,0.750800371
Devizes,962,723,740,666,739,732,992,973,650,1038,743,746,740,96992,Danny Kruger,Conservative,1.003175497,0.991834402,1.070191383,1.022764802,0.754701436,0.745422304,0.762949526,0.769135594,0.766042531,0.762949526,0.761918485,0.686654568,0.670158386
Dewsbury,890,679,684,603,661,676,945,890,572,966,670,690,691,109780,Mark Eastwood,Conservative,0.810712337,0.810712337,0.879941702,0.860812545,0.615777016,0.618509769,0.629440725,0.628529787,0.610311508,0.623064339,0.602113307,0.549280405,0.521042109
Don Valley,482,344,340,303,333,347,502,485,283,534,343,344,345,98337,Nick Fletcher,Conservative,0.493201941,0.490151227,0.54303062,0.510489464,0.352868199,0.349817455,0.35083437,0.349817455,0.34880054,0.345749825,0.338631451,0.308124095,0.287785888
Doncaster Central,641,451,456,387,437,455,667,630,371,713,456,450,443,104951,Dame Rosie Winterton,Labour,0.600280106,0.610761225,0.679364681,0.635534704,0.433535635,0.429724336,0.422101736,0.428771526,0.434488475,0.434488475,0.416384786,0.368743509,0.35349831
Doncaster North,418,322,324,294,322,317,441,428,278,460,323,316,322,99098,Edward Miliband,Labour,0.431895703,0.421804667,0.464186966,0.44501403,0.319885373,0.324930876,0.324930876,0.318876266,0.325939983,0.32694909,0.324930876,0.29667601,0.280530393
Dover,854,633,650,569,622,637,882,877,543,925,648,650,635,97580,Mrs Natalie Elphicke,Conservative,0.898749769,0.87517935,0.947940171,0.903873742,0.652797699,0.648698509,0.650748134,0.666120112,0.664070487,0.666120112,0.637425721,0.583111286,0.55646646
Dudley North,428,290,302,306,309,277,423,427,292,457,305,308,296,81097,Marco Longhi,Conservative,0.526529968,0.527763069,0.563522696,0.521597564,0.341566265,0.357596457,0.364995003,0.379792094,0.376092821,0.372393548,0.381025195,0.377325922,0.360062629
Dudley South,442,343,357,316,359,338,461,456,302,484,361,354,353,79438,Mike Wood,Conservative,0.574032605,0.556408763,0.609280169,0.580326796,0.425489068,0.431783289,0.4443717,0.44563055,0.454442471,0.449407071,0.451924771,0.397794515,0.380170703
Dulwich and West Norwood,2944,2262,2294,2114,2270,2245,3054,2978,2009,3139,2285,2276,2285,110533,Helen Hayes,Labour,2.69421792,2.66345787,2.839875937,2.762975693,2.03106761,2.046447754,2.067255974,2.059113503,2.067255974,2.075398207,2.053685427,1.912551045,1.817556739
Dumfries and Galloway,469,359,366,316,354,355,487,452,293,503,366,375,369,97044,Mr Alister Jack,Conservative,0.465768099,0.483285934,0.518321574,0.501834214,0.365813434,0.369935274,0.380239904,0.386422664,0.377148509,0.377148509,0.364782989,0.325625479,0.301924914
"Dumfriesshire, Clydesdale and Tweeddale",508,372,382,358,388,377,527,509,353,543,379,380,383,86062,David Mundell,Conservative,0.591434062,0.590272129,0.630940497,0.612349212,0.43805629,0.432246506,0.445028007,0.441542149,0.440380186,0.443866044,0.450837761,0.415979177,0.410169423
Dundee East,482,349,347,311,337,353,514,502,304,522,351,358,346,87636,Stewart Hosie,Scottish National Party,0.572823942,0.550002277,0.595645607,0.586516976,0.402802497,0.398238152,0.394814909,0.408507913,0.400520325,0.39595601,0.384545177,0.354876995,0.346889406
Dundee West,640,470,467,406,451,477,647,644,383,674,462,463,472,89181,Chris Law,Scottish National Party,0.722126901,0.717641652,0.755766392,0.725490868,0.534867287,0.52701807,0.529260695,0.519168854,0.518047571,0.523654163,0.505713105,0.455253929,0.429463685
Dunfermline and West Fife,648,454,482,419,482,454,670,648,411,685,474,474,470,98296,Douglas Chapman,Scottish National Party,0.659233332,0.659233332,0.696874738,0.681614697,0.461870283,0.461870283,0.478147626,0.482216984,0.482216984,0.49035567,0.49035567,0.426263541,0.418124855
Dwyfor Meirionnydd,302,233,246,228,243,233,314,308,232,327,246,249,250,61334,Liz Saville Roberts,Plaid Cymru,0.502168477,0.492385954,0.533146381,0.51195097,0.379887164,0.379887164,0.407604277,0.405973852,0.401082605,0.401082605,0.396191359,0.371735096,0.378256768
Ealing Central and Acton,4085,2851,2917,2677,2884,2838,4267,4015,2615,4381,2904,2941,2910,119448,Dr Rupa Huq,Labour,3.361295223,3.419898272,3.667704821,3.572265863,2.375929356,2.386812687,2.436206579,2.462159157,2.431183338,2.442066908,2.414439678,2.241142511,2.189237118
Ealing North,2092,1500,1558,1446,1539,1490,2227,2052,1374,2287,1537,1538,1527,121138,James Murray,Labour (Co-op),1.693935871,1.72695601,1.88792944,1.838399172,1.230002165,1.23825717,1.26054585,1.269626379,1.268800855,1.286136508,1.270451903,1.193679929,1.134243608
"Ealing, Southall",1728,1272,1261,1175,1257,1213,1792,1705,1128,1847,1261,1270,1291,97843,Mr Virendra Sharma,Labour,1.742587566,1.766094685,1.887718081,1.831505537,1.239741206,1.300041914,1.31946075,1.297997832,1.288799405,1.288799405,1.284711242,1.200903535,1.152867317
Easington,326,229,229,197,214,220,342,316,193,358,225,240,234,82768,Grahame Morris,Labour,0.381790072,0.393872023,0.432534307,0.41320318,0.265803218,0.276676983,0.282717973,0.289967149,0.271844178,0.276676983,0.258554041,0.238014698,0.233181909
East Devon,2040,1732,1590,1422,1562,1718,2132,2048,1394,2145,1665,1768,1760,93930,Simon Jupp,Conservative,2.180346966,2.171830177,2.283615351,2.269775391,1.829021573,1.843926311,1.873735785,1.882252693,1.772596598,1.692749977,1.662940502,1.513893366,1.484083891
East Dunbartonshire,762,492,472,446,483,485,773,780,434,814,469,494,501,82193,Amy Callaghan,Scottish National Party,0.948985934,0.927086234,0.990351975,0.940469384,0.590074599,0.598591149,0.609540939,0.601024389,0.570608199,0.574258149,0.587641299,0.542625308,0.528025508
East Ham,2718,1959,2058,1951,2042,1910,2842,2702,1875,2917,2042,2038,2029,149874,Stephen Timms,Labour,1.802847743,1.813523412,1.946301579,1.896259546,1.274403811,1.307097912,1.353803873,1.359808922,1.362477779,1.373153448,1.362477779,1.301760197,1.25105083
East Hampshire,1391,1003,976,911,982,999,1432,1381,873,1497,975,985,1006,95258,Damian Hinds,Conservative,1.449746966,1.460244775,1.571521521,1.503285766,1.04873085,1.052929878,1.056079268,1.034033895,1.023536086,1.024585843,1.030884504,0.956350148,0.916458488
"East Kilbride, Strathaven and Lesmahagow",627,420,430,392,431,429,654,644,380,687,425,424,433,100593,Dr Lisa Cameron,Scottish National Party,0.640203595,0.623303831,0.682950079,0.650144637,0.426471025,0.41752407,0.430447459,0.421500504,0.42249462,0.427465141,0.428459227,0.389689147,0.377759874
East Lothian,861,647,681,639,678,641,890,878,618,935,670,675,675,99620,Kenny MacAskill,Alba Party,0.881349146,0.864284277,0.938566566,0.893394887,0.643445075,0.649468005,0.677574813,0.677574813,0.672555685,0.683597684,0.680586219,0.641437471,0.620357335
East Renfrewshire,882,660,669,624,654,662,916,889,614,947,664,678,662,90471,Kirsten Oswald,Scottish National Party,0.982635319,0.97489804,1.046744227,1.012479186,0.73172617,0.729515553,0.73172617,0.749411404,0.733936846,0.739463449,0.722883582,0.68972379,0.678670526
East Surrey,8904,1526,1377,1259,1365,1586,9281,7340,1226,9572,1353,1338,1329,105043,Claire Coutinho,Conservative,6.987614632,8.476529121,9.112459183,8.835429192,1.509857893,1.452738404,1.265196204,1.273764133,1.288043976,1.310891747,1.299467802,1.198556781,1.16714108
East Worthing and Shoreham,1216,943,950,826,961,955,1277,1233,787,1302,958,965,966,95956,Tim Loughton,Conservative,1.284963965,1.267247438,1.356871843,1.330818295,0.995247841,0.982742071,1.006711364,1.005669236,0.998374283,0.990037084,1.001500726,0.860811234,0.820167601
East Yorkshire,620,497,472,402,458,480,665,627,391,684,466,480,489,100404,Sir Greg Knight,Conservative,0.624477088,0.617505252,0.681247771,0.66232419,0.47806859,0.495000213,0.487032384,0.47806859,0.464124948,0.47010079,0.456157118,0.400382459,0.389426708
Eastbourne,1033,769,821,755,805,754,1078,1039,729,1110,795,794,784,106811,Caroline Ansell,Conservative,0.972746253,0.967128873,1.039218783,1.009259343,0.705919802,0.719963312,0.734006822,0.743369102,0.744305372,0.768647432,0.753667712,0.706856012,0.682513952
Eastleigh,1173,872,868,816,871,870,1229,1189,777,1282,885,891,878,103800,Paul Holmes,Conservative,1.14547205,1.130057812,1.235067487,1.184007764,0.838150263,0.840077043,0.845857441,0.85838151,0.852601171,0.836223483,0.839113653,0.78612715,0.748554885
Eddisbury,993,721,680,628,679,727,1031,996,622,1061,687,707,727,85569,Edward Timpson,Conservative,1.163972974,1.160467029,1.23993504,1.204875588,0.849606752,0.842594862,0.849606752,0.826233804,0.802860856,0.794680297,0.793511689,0.73391062,0.726898789
Edinburgh East,1268,994,969,894,949,971,1300,1261,869,1324,992,992,1001,95497,Tommy Sheppard,Scottish National Party,1.32046032,1.32779038,1.386430979,1.361299276,1.01678586,1.040870428,1.048200488,1.03877604,1.03877604,1.014691591,0.993748486,0.936155081,0.909976244
Edinburgh North and Leith,2637,1944,2045,1833,2031,1948,2759,2599,1770,2818,2016,2008,1967,106267,Deidre Brock,Scottish National Party,2.445726395,2.481485367,2.651811123,2.596290588,1.833118439,1.829354405,1.850997925,1.889580011,1.897108197,1.924397945,1.91122365,1.724900484,1.665615797
Edinburgh South,1224,925,883,803,887,941,1256,1079,787,1287,885,930,908,86191,Ian Murray,Labour,1.251870871,1.420101881,1.493195295,1.457228661,1.091761351,1.073197842,1.053474307,1.078998923,1.026789308,1.024468899,1.029109716,0.931651771,0.913088381
Edinburgh South West,1218,832,822,744,815,861,1238,1242,742,1299,829,833,827,99102,Joanna Cherry,Scottish National Party,1.253254175,1.229036808,1.31077075,1.249217987,0.868801832,0.839539051,0.834493756,0.840548098,0.83651185,0.829448462,0.822385013,0.750741661,0.748723567
Edinburgh West,893,629,661,583,666,624,919,920,568,941,652,640,645,89371,Christine Jardine,Liberal Democrat,1.02941668,0.99920553,1.052914262,1.028297782,0.698213041,0.703807712,0.721710622,0.716115952,0.729543149,0.739613533,0.745208204,0.652336895,0.635552943
Edmonton,1807,1280,1314,1261,1342,1279,1908,1751,1290,1971,1302,1317,1302,112029,Kate Osamor,Labour (Co-op),1.562988162,1.61297524,1.759365916,1.703130484,1.141668677,1.142561316,1.16219902,1.175588489,1.16219902,1.172910571,1.19790411,1.125601411,1.151487589
Ellesmere Port and Neston,632,481,486,449,480,477,652,629,419,683,481,486,485,86881,Justin Madders,Labour,0.723978758,0.727431774,0.786132753,0.750451744,0.549026847,0.553630829,0.558234811,0.559385836,0.553630829,0.559385836,0.552479804,0.516798854,0.48226884
Elmet and Rothwell,1141,826,811,744,804,807,1187,1148,717,1235,812,828,840,99663,Alec Shelbrooke,Conservative,1.151881814,1.144858122,1.239176035,1.191013694,0.809728801,0.828793049,0.842840374,0.830799818,0.814745665,0.81374234,0.806718647,0.746515751,0.719424486
Eltham,1627,1141,1166,1102,1160,1144,1667,1594,1069,1744,1171,1175,1170,89725,Clive Efford,Labour,1.776539445,1.813318491,1.943716884,1.857899189,1.27500701,1.271663427,1.303984404,1.309556961,1.305098891,1.299526334,1.292839289,1.228197217,1.191418171
Enfield North,1549,1137,1171,1081,1169,1110,1642,1551,1041,1678,1173,1178,1153,103050,Feryal Clark,Labour,1.505094647,1.503153801,1.628335714,1.593401313,1.077147007,1.103347898,1.118874311,1.143134356,1.138282418,1.136341572,1.134400725,1.049005389,1.010189176
"Enfield, Southgate",2804,2030,2042,1961,2047,1999,2919,2814,1878,2994,2051,2077,2059,97371,Bambos Charalambous,Labour,2.889977455,2.879707575,3.074837446,2.99781251,2.052972555,2.084809542,2.114592552,2.133078575,2.106376648,2.097133636,2.102268696,2.013946772,1.928705692
Epping Forest,1949,1369,1381,1331,1407,1358,2059,1930,1265,2133,1384,1390,1420,95083,Dame Eleanor Laing,Conservative,2.029805422,2.049787998,2.243303299,2.165476561,1.428225875,1.43979466,1.493432045,1.461880684,1.45557034,1.452415228,1.479759812,1.399829626,1.33041656
Epsom and Ewell,1935,1408,1442,1321,1434,1402,2021,1954,1281,2091,1417,1407,1423,104019,Chris Grayling,Conservative,1.878502965,1.860237122,2.01020956,1.942914248,1.347830653,1.353598833,1.368019342,1.352637529,1.362251163,1.386285186,1.378594279,1.269960284,1.231505752
Erewash,603,469,471,417,476,465,630,610,397,659,468,475,481,94057,Maggie Throup,Conservative,0.648542881,0.641100585,0.70063895,0.6698066,0.49438107,0.498633802,0.511392057,0.505012929,0.497570634,0.500760198,0.506076097,0.443348169,0.422084481
Erith and Thamesmead,1627,1135,1136,1106,1155,1116,1693,1595,1061,1743,1137,1145,1152,110363,Abena Oppong-Asare,Labour,1.445230722,1.474225998,1.579333663,1.534028649,1.011208415,1.028424382,1.04382813,1.037485361,1.030236602,1.029330492,1.04654634,1.002147436,0.961372912
Esher and Walton,2772,1987,1934,1786,1930,1981,2881,2808,1728,2944,1937,1952,1980,109070,Dominic Raab,Conservative,2.574493408,2.541487217,2.699183941,2.641422987,1.816264749,1.82176578,1.81534791,1.789676309,1.775923729,1.773173213,1.769505858,1.637480497,1.584303617
Exeter,996,765,808,702,791,740,1042,1001,666,1072,819,773,763,106055,Mr Ben Bradshaw,Labour,0.943849862,0.939135373,1.010796309,0.982509077,0.697751164,0.721323848,0.719438016,0.728867114,0.772240818,0.761868834,0.745839417,0.661920726,0.62797606
Falkirk,625,479,458,403,456,488,657,620,377,679,458,491,480,108872,John McNally,Scottish National Party,0.569476068,0.574068606,0.623668134,0.603460968,0.4482328,0.439966202,0.440884709,0.450988322,0.420677483,0.420677483,0.418840468,0.370159447,0.346278191
Fareham,1076,774,769,683,763,767,1111,1084,649,1162,773,775,803,97516,Suella Braverman,Conservative,1.111612439,1.103408694,1.191599369,1.139300227,0.786537588,0.793715894,0.823454618,0.794741392,0.792690456,0.788588524,0.782435715,0.700397909,0.665531814
Faversham and Mid Kent,1116,838,871,776,850,835,1180,1111,746,1214,866,855,847,92846,Helen Whately,Conservative,1.196605086,1.201990366,1.30754149,1.270921707,0.899338663,0.90256983,0.912263334,0.920879722,0.932727337,0.938112557,0.915494502,0.835792601,0.803481042
